,0
0,5
1,5
2,5
3,6
4,6
5,6
6,6
7,7
8,7
9,6
10,6
11,6
12,7
13,7
14,6
15,6
16,6
17,7
18,7
19,6
20,8
21,8
22,6
23,7
24,5
25,7
26,8
27,7
28,7
29,7
30,6
31,6
32,5
33,6
34,6
35,6
36,6
37,6
38,7
39,6
40,6
41,6
42,6
43,7
44,6
45,6
46,6
47,6
48,6
49,6
50,5
51,5
52,6
53,6
54,6
55,6
56,6
57,5
58,7
59,3
60,4
61,5
62,5
63,5
64,5
65,5
66,4
67,4
68,5
69,6
70,6
71,7
72,7
73,8
74,7
75,6
76,6
77,6
78,6
79,6
80,6
81,7
82,8
83,8
84,7
85,6
86,7
87,7
88,6
89,7
90,8
91,8
92,7
93,7
94,7
95,8
96,7
97,7
98,7
99,7
100,5
101,6
102,7
103,7
104,6
105,5
106,4
107,5
108,6
109,6
110,6
111,5
112,6
113,6
114,6
115,5
116,6
117,5
118,5
119,6
120,7
121,6
122,6
123,8
124,7
125,8
126,8
127,7
128,7
129,6
130,7
131,6
132,7
133,7
134,7
135,8
136,8
137,7
138,7
139,7
140,7
141,7
142,7
143,8
144,9
145,8
146,8
147,8
148,7
149,7
150,6
151,7
152,7
153,7
154,7
155,7
156,8
157,7
158,8
